,name,phone number,address
42,봄날어린이집,02-6368-0825,서울특별시 도봉구 덕릉로53길 55 (창제2동)
43,새빛어린이집,02-6951-1317,"서울특별시 마포구 백범로31길 8 ,202동 1층 (아현동)"
44,서초구립 서초3동하나어린이집,02-523-6777,서울특별시 서초구 명달로11길 16 (서초3동)
45,서초구립 한신서래어린이집,02-533-9631,"서울특별시 서초구 사평대로28길 31 ,101동 108호 (반포4동)"
46,서초구립 허니비어린이집,02-535-7957,"서울특별시 서초구 서초대로1길 30 ,105동 101호(방배동, 현대아파트) (방배4동)"
47,신나라어린이집,02-432-5799,서울특별시 중랑구 봉우재로2길 22 (면목제2동)
48,온유한어린이집,02-906-1842,서울특별시 도봉구 덕릉로60자길 22 (창제3동)
49,태양하나어린이집,02-2245-9544,서울특별시 동대문구 황물로 32 (답십리제1동)
50,포레나아이어린이집,02-937-3263,서울특별시 노원구 노원로38길 76 (상계10동)
51,해솔어린이집,02-6956-0015,"서울특별시 마포구 서강로 75-16 ,창전동 청년주택 1층 (서강동)"
52,현대열린어린이집,02-6091-1004,"서울특별시 구로구 개봉로20길 6 ,현대아파트 1단지내(개봉역입구쪽) (개봉제2동)"
53,자이숲어린이집,02-441-9002,"서울특별시 강동구 상일로 55 ,119동 103호(상일동, 고덕자이) (상일제1동)"
54,삼성서울병원2 어린이집,02-3411-3140,서울특별시 강남구 양재대로55길 12 (일원1동)
55,KB여의도어린이집,02-6332-5051,"서울특별시 영등포구 국제금융로8길 26 ,1층 (여의동)"
56,서울아산병원제2어린이집,02-2045-3935,서울특별시 송파구 강동대로 13 (풍납2동)
57,구립 은빛나래어린이집,02-3157-2777,서울특별시 은평구 서오릉로9길 18 (역촌동)
58,구립가래여울어린이집,02-441-3690,"서울특별시 강동구 아리수로93나길 88 ,강동리버스트8단지아파트관리동 (강일동)"
59,구립도로롱어린이집,02-441-0103,"서울특별시 강동구 고덕로98길 160 ,강동리엔파크14단지아파트 관리동 (상일제2동)"
60,삼전하늘어린이집,02-418-3721,서울특별시 송파구 삼전로10길 21 (삼전동)
61,석촌새싹어린이집,02-423-1860,서울특별시 송파구 가락로11길 9-18 (석촌동)
62,구립해뜨는어린이집,02-3426-7775,"서울특별시 강동구 고덕로98길 101 ,강동리엔파크11단지아파트 관리동 (상일제2동)"
63,꿈빛어린이집,02-6953-3800,"서울특별시 마포구 백범로31길 7 ,공덕SK리더스뷰 103동 1층 (아현동)"
64,구립 우장숲어린이집,02-2691-3690,서울특별시 강서구 화곡로41길 19 (우장산동)
65,구립새봄어린이집,02-532-3330,서울특별시 동작구 사당로9길 11-13 (사당제3동)
66,구립은솔어린이집,02-824-2021,"서울특별시 동작구 상도로 346-1 ,힐스테이트상도 111동 101호 (상도제1동)"
67,동심어린이집,02-432-6461,서울특별시 중랑구 용마공원로3길 40 (망우본동)
68,푸르니어린이집,02-2633-3389,"서울특별시 구로구 신도림로 16 ,302동 104호 (신도림동)"
69,하영어린이집,02-2672-3331,"서울특별시 구로구 신도림로 16 ,406동102호 (신도림동)"
70,한나어린이집,02-374-1005,"서울특별시 서대문구 가재울로 45 ,103동 105호 (남가좌제2동)"
71,마곡9 나인어린이집,02-6956-5573,"서울특별시 강서구 공항대로 103 ,엠밸리9단지 관리동 (공항동)"
72,도토리집공동육아어린이집,02-907-1300,"서울특별시 강북구 삼각산로4길 36 ,나호 (인수동)"
73,송파든든어린이집,02-407-0301,서울특별시 송파구 위례서이로 25 (위례동)
74,구립또바기어린이집,02-441-3215,"서울특별시 강동구 상일로 55 ,고덕자이아파트 관리동 (상일제1동)"
75,서초구립 래미안리더스원어린이집,02-522-6260,서울특별시 서초구 서운로 62 (서초2동)
76,자연아이어린이집,02-909-3567,서울특별시 성북구 돌곶이로40길 46 (장위제1동)
77,구립가람슬기어린이집,02-6012-8957,서울특별시 강동구 올림픽로98가길 12-16 (암사제1동)
78,신길파크자이솔숲어린이집,02-6269-1900,서울특별시 영등포구 신길로28길 25 (신길제6동)
79,구립 염창별하어린이집,02-3662-7942,서울특별시 강서구 공항대로 543 (염창동)
80,보배사랑어린이집,02-2619-3377,"서울특별시 구로구 중앙로12길 7 ,101동 101호 (고척제2동)"
81,삼성어린이집,02-2243-5033,서울특별시 동대문구 한천로26길 43 (장안제1동)
82,거여하나어린이집,02-402-2010,서울특별시 송파구 오금로 475 (거여1동)
83,구립 이든아이어린이집,02-2605-0241,서울특별시 강서구 까치산로18나길 22-1 (화곡본동)
84,구립사랑그린어린이집,02-441-9829,"서울특별시 강동구 고덕로98길 29 ,강동리엔파크9단지 관리동 (상일제2동)"
85,한별어린이집,02-392-6001,"서울특별시 서대문구 이화여대8길 123 ,힐스테이트신촌아파트 단지 내 (북아현동)"
86,구립강동해밀어린이집,02-426-8861,"서울특별시 강동구 아리수로93가길 77 ,강동리버스트6단지아파트 관리동 (강일동)"
87,구립해봄어린이집,02-426-9370,"서울특별시 강동구 아리수로93가길 70 ,강동리버스트7단지아파트 관리동 (강일동)"
88,구립대우주어린이집,02-2605-7313,"서울특별시 강서구 화곡로13길 107 ,135동 101호 (화곡제3동)"
89,서초구립 센트럴아이파크어린이집,02-2088-7137,서울특별시 서초구 반포대로18길 36 (서초3동)
90,도토리소풍넥슨 강남어린이집,02-538-1026,"서울특별시 강남구 강남대로110길 36 ,(역삼동) (역삼1동)"
91,신길힐스테이트나래어린이집,02-6672-8330,서울특별시 영등포구 신길로28길 9 (신길제4동)
92,위례푸른숲어린이집,02-409-7942,서울특별시 송파구 위례북로4길 12 (위례동)
93,현대오토에버 늘해랑어린이집,02-3453-0053,서울특별시 강남구 삼성로84길 13 (대치2동)
94,쿠팡(위례)어린이집,02-400-7790,"서울특별시 송파구 위례광장로 188 ,아이온스퀘어 2F (위례동)"
95,구립 샘물어린이집,02-3437-7737,"서울특별시 광진구 뚝섬로58길 56 ,101호 (자양제2동)"
96,포레스트어린이집,02-2058-3788,서울특별시 강남구 개포로 264 (개포제4동)
97,거여사과나무어린이집,02-3402-3425,"서울특별시 송파구 거마로 41 ,302동 101호(거여동, 현대3차아파트) (거여1동)"
98,빛의숲어린이집,02-542-5857,"서울특별시 강남구 논현로158길 19 ,1층 (압구정동)"
99,송파아이숲어린이집,02-400-6079,"서울특별시 송파구 오금로 551 ,205동 104호 (거여2동)"
100,큰나래어린이집,02-797-7703,"서울특별시 용산구 서빙고로 17 ,102동 1,2,3층 (한강로동)"
101,구립늘해랑어린이집,02-429-7942,"서울특별시 강동구 고덕로 399 ,고덕센트럴푸르지오아파트 관리동 (고덕제2동)"
102,꿈빛 어린이집,02-6227-4960,"서울특별시 성북구 종암로21길 127 ,101동 101호 (종암동)"
103,라온어린이집,02-432-5592,서울특별시 중랑구 동일로91길 23 (면목제5동)
104,사가정 아이파크어린이집,02-496-8077,서울특별시 중랑구 동일로92길 40 (면목제5동)
105,새솔아델포레어린이집,02-6334-0202,서울특별시 영등포구 신길로 29 (대림제1동)
106,신아푸르지오 어린이집,02-358-0404,"서울특별시 은평구 연서로 455 ,제각말 5단지 푸르지오 관리동(진관동) (진관동)"
107,서울도봉경찰서어린이집,02-906-8190,"서울특별시 도봉구 노해로 403 ,서울도봉경찰서어린이집 (창제4동)"
108,중앙그룹직장어린이집,070-8672-9249,"서울특별시 마포구 월드컵북로 375 ,1,2층 (상암동)"
109,카페24직장어린이집,02-6279-2411,"서울특별시 관악구 보라매로3길 23 ,2층(카페24직장어린이집) (보라매동)"
110,별하어린이집,02-2682-0996,"서울특별시 구로구 항동로 68 ,하버라인9단지 관리동 내 (항동)"
111,당산2동센트럴아이파크별하어린이집,02-2135-2653,"서울특별시 영등포구 영신로 247 ,107동 관리동 (당산제2동)"
112,방이즐거운어린이집,02-413-5277,"서울특별시 송파구 가락로39길 6 ,(방이동) (방이2동)"
113,송파파크센트럴어린이집,02-403-7700,서울특별시 송파구 오금로 551 (거여2동)
114,구립키즈맘어린이집,02-874-0761,"서울특별시 관악구 봉천로23나길 35 ,101호 (보라매동)"
115,해바라기어린이집,02-2060-5887,"서울특별시 구로구 항동로 8 ,관리동 (항동)"
116,현대모비스모아어린이집,02-3454-0062,서울특별시 강남구 테헤란로13길 34 (역삼1동)
117,참누리어린이집,02-2612-2021,"서울특별시 구로구 경인로 302 ,관리동 (개봉동,개봉역센트레빌레우스 임대아파트) (개봉제1동)"
118,구립강동든든어린이집,02-442-2807,"서울특별시 강동구 아리수로93가길 110 ,관리동 (강일동)"
119,당산2동은솔어린이집,02-2636-5630,서울특별시 영등포구 당산로42길 23 (당산제2동)
120,새우개 하나어린이집,02-438-1318,서울특별시 중랑구 용마산로139다길 17 (신내1동)
121,서울지방국세청 우리누리어린이집,02-739-5100,서울특별시 종로구 종로5길 86 (종로1.2.3.4가동)
122,서초구립 반포센트럴자이어린이집,02-533-8801,"서울특별시 서초구 반포대로 310-6 ,(반포센트럴자이어린이집) (반포3동)"
123,아이누리어린이집,02-982-3949,"서울특별시 성북구 숭인로 16 ,103동 101호 (길음제2동)"
124,두빛나래터발도르프어린이집,02-2653-6986,서울특별시 강서구 등촌로39마길 52 (등촌제2동)
125,서울남부지방법원 직장어린이집,02-2192-1930,"서울특별시 양천구 신월로 386 ,별관 5층 (신정1동)"
126,아이키움문래어린이집,02-6397-7955,"서울특별시 영등포구 선유로9길 30 ,102동 1층(문래동6가) (문래동)"
127,구립 물빛캐슬어린이집,02-6951-2081,서울특별시 은평구 수색로 300 (수색동)
128,다올어린이집,02-332-2322,"서울특별시 마포구 양화로 72 ,1층 (서교동)"
129,늘봄어린이집,02-3390-3094,"서울특별시 동대문구 외대역동로1길 60-3 ,휘경해모로 관리동 (휘경제1동)"
130,구립 가온어린이집,02-2602-2484,"서울특별시 양천구 남부순환로83길 17 ,목동센트럴아이파크위브아파트 1단지 (신월6동)"
131,구립 나래어린이집,02-2603-4110,"서울특별시 양천구 남부순환로83길 18 ,목동센트럴아이파크위브아파트 2단지 (신월6동)"
132,구립 마루어린이집,02-2604-4301,"서울특별시 양천구 남부순환로83길 47 ,목동센트럴아이파크위브아파트 4단지 (신월6동)"
133,구립에코포레어린이집,02-470-0633,"서울특별시 강동구 천중로 253 ,이편한세상강동에코포레아파트 관리동 1층 (길동)"
134,날아라어린이집,02-2066-7114,서울특별시 구로구 부광로 96-16 (항동)
135,한나무어린이집,02-995-2447,"서울특별시 도봉구 노해로66길 21 ,103동 105호(창동, 삼성래미안아파트) (창제1동)"
136,거여키즈어린이집,02-408-6198,"서울특별시 송파구 거마로 41 ,303동 102호(거여동, 현대3차아파트) (거여1동)"
137,구립다움어린이집,02-582-2990,"서울특별시 동작구 사당로 90 ,사당롯데캐슬골든포레 관리동 1층 (사당제5동)"
138,영등포든든어린이집,02-842-2021,서울특별시 영등포구 대림로35가길 9 (대림제3동)
139,구립 응암샛별어린이집,02-354-5208,서울특별시 은평구 은평로 220 (응암제1동)
140,구립 응암행복어린이집,02-353-0701,서울특별시 은평구 은평로 220 (응암제1동)
141,신촌그랑어린이집,02-6949-0277,"서울특별시 마포구 대흥로 175 ,관리동 (대흥동)"
142,이삭숲어린이집,02-441-2914,"서울특별시 강동구 동남로82길 29-8 ,이삭숲어린이집 (고덕제2동)"
143,서대문든든어린이집,02-306-2020,"서울특별시 서대문구 거북골로 100 ,래미안루센티아아파트 (남가좌제2동)"
144,한샘어린이집,02-6908-4051,"서울특별시 서초구 방배로 285 ,한샘빌딩 (방배본동)"
145,행복타운어린이집,070-7470-3598,"서울특별시 마포구 마포대로 144 ,마포T타운 2층 (공덕동)"
146,모두의 숲 어린이집,02-463-0312,서울특별시 성동구 상원6나길 22-7 (성수1가제2동)
147,신길센트럴자이 솔빛 어린이집,02-848-1531,서울특별시 영등포구 신길로29길 17 (신길제5동)
148,구립 신태양어린이집,02-2699-1921,서울특별시 강서구 곰달래로31다길 25 (화곡제2동)
149,구립아이와나무어린이집,02-452-5579,서울특별시 광진구 천호대로123길 4-4 (중곡제2동)
150,꼬마사랑어린이집,02-432-0097,서울특별시 중랑구 봉우재로6길 9 (면목제2동)
151,서초구(내곡)육아종합지원센터,02-578-9340,"서울특별시 서초구 청계산로15길 77 ,1층 (내곡동)"
152,서초구(서리풀)육아종합지원센터,02-597-9340,서울특별시 서초구 명달로 148 (서초3동)
153,엔젤어린이집,02-838-6157,"서울특별시 구로구 디지털로31길 90 ,108동 103호 (구로제3동)"
154,한국환경산업기술원 초록꿈나무 직장어린이집,02-356-7071,"서울특별시 은평구 진흥로 215 ,A동 (불광제1동)"
155,구립인헌어린이집,02-889-8586,서울특별시 관악구 낙성대역14길 6 (인헌동)
156,구립 이든어린이집,02-356-9616,서울특별시 은평구 응암로30길 15 (응암제2동)
157,서비스에이스 하람어린이집,02-6256-0190,"서울특별시 영등포구 문래로28길 25 ,에스타워 3층(문래동3가) (문래동)"
158,국립중앙박물관 해누림 어린이집,02-2077-9048,"서울특별시 용산구 서빙고로 137 ,국립중앙박물관 (서빙고동)"
159,우아한어린이집,02-422-9941,서울특별시 송파구 올림픽로32길 37-22 (방이2동)
160,목멱어린이집,02-6954-2057,서울특별시 용산구 회나무로12나길 10 (이태원제2동)
161,CJ키즈빌어린이집,02-586-2022,서울특별시 서초구 전원말4길 7 (방배2동)
162,GS예원어린이집,02-712-7974,"서울특별시 마포구 창전로 26 ,관리동 1층 (신수동)"
163,구립 내일어린이집,02-306-3850,"서울특별시 은평구 응암로16길 20-9 ,구립 내일어린이집 (응암제2동)"
164,구립 새하늘어린이집,02-2603-2225,서울특별시 강서구 강서로17다길 15-14 (화곡제1동)
165,구립 성수아이파크어린이집,02-469-5575,"서울특별시 성동구 성수이로 137 ,관리동 1층 (성수동2가, 성수동아이파크) (성수2가제3동)"
166,구립 왕십리하나어린이집,02-2296-3990,서울특별시 성동구 무학봉16길 9-3 (왕십리제2동)
167,구립 해담어린이집,02-2662-3265,서울특별시 강서구 금낭화로11길 36 (방화제2동)
168,구립삼성어린이집,02-996-3737,"서울특별시 강북구 한천로159길 8 ,삼성아파트 관리동 (수유2동)"
169,구립우리아이어린이집,010-4697-9933,"서울특별시 광진구 구의로4길 21 ,구의동 (구의제3동)"
170,나무어린이집,02-900-8520,"서울특별시 도봉구 노해로66길 21 ,103동 106호(창동, 삼성래미안아파트) (창제1동)"
171,노원든든어린이집,02-998-0632,"서울특별시 노원구 초안산로2라길 26 ,월계센트럴아이파크A, 월계동 (월계2동)"
172,늘품자연어린이집,02-306-0972,"서울특별시 서대문구 거북골로 84 ,DMC에코자이아파트 단지 내 (남가좌제2동)"
173,단비어린이집,02-3494-0541,"서울특별시 도봉구 마들로 859-19 ,110동 106호(도봉동, 도봉한신아파트) (도봉제2동)"
174,라이나생명 키즈나루 어린이집,02-3779-8170,"서울특별시 종로구 삼봉로 48 ,시그나 빌딩 2층 (종로1.2.3.4가동)"
175,무지개어린이집,02-999-8096,서울특별시 도봉구 덕릉로60길 121-20 (창제3동)
176,보림어린이집,02-948-0533,"서울특별시 중랑구 중랑천로 286 ,101동 101호(묵동, 현대아이파크) (묵제2동)"
177,삼성영재어린이집,02-374-6703,"서울특별시 서대문구 증가로 191 ,DMC래미안클라시스 108동 104호 (남가좌제2동)"
178,상계해솔어린이집,02-931-0219,"서울특별시 노원구 수락산로 12 ,(상계역센트럴푸르지오A, 상계동) (상계3.4동)"
179,서초구립 대우효령어린이집,02-525-1116,서울특별시 서초구 효령로 84 (방배3동)
180,서초구립 롯데캐슬킨더어린이집,02-591-3009,"서울특별시 서초구 서운로 197 ,1층 (서초4동)"
181,수자인어린이집,02-432-8366,"서울특별시 중랑구 사가정로72길 26 ,한양수자인사가정파크 단지내 (면목제7동)"
182,신동아어린이집,02-451-1828,"서울특별시 강남구 헌릉로590길 10 ,관리동 (세곡동)"
183,신촌숲어린이집,02-717-1357,"서울특별시 마포구 광성로 17 ,관리동 1층 (신수동)"
184,아름드리어린이집,02-322-0714,"서울특별시 마포구 월드컵로 338 ,관리동 1층 (상암동)"
185,웃음가득어린이집,02-955-1255,"서울특별시 도봉구 마들로 859-19 ,106동 104호(도봉동, 도봉한신아파트) (도봉제2동)"
186,월드컵어린이집,02-383-3201,"서울특별시 마포구 월드컵북로 501 ,관리동 1층 (상암동)"
187,진주어린이집,02-930-0240,"서울특별시 노원구 동일로227길 86 ,1614동 103호 (상계8동)"
188,포스코 제2 어린이집,02-3457-6591,"서울특별시 강남구 테헤란로 440 ,포스코센터 4층 (대치4동)"
189,푸른숲어린이집,02-2208-3004,서울특별시 중랑구 용마산로94길 94 (면목제3.8동)
190,한빛어린이집,02-2135-5861,"서울특별시 동대문구 이문로9길 93 ,101호 (이문동, 반도하이츠빌라) (이문제1동)"
191,호호어린이집,02-943-8133,"서울특별시 노원구 석계로 49 ,현대아파트 단지내 (월계1동)"
192,다람패스트파이브공동직장어린이집,02-3453-7734,서울특별시 강남구 봉은사로18길 45-1 (역삼1동)
193,서울소방학교 직장어린이집,02-354-3601,서울특별시 은평구 통일로 1031-21 (진관동)
194,SK스토아 행복어린이집,02-6393-5320,"서울특별시 마포구 월드컵북로 402 ,2층(상암동,KGIT센터) (상암동)"
195,블랭크어린이집,02-6230-0100,"서울특별시 강남구 선릉로93길 40 ,1층 (역삼1동)"
196,용산소방서직장어린이집,02-749-6034,"서울특별시 용산구 한강대로 167 ,용산소방서 (한강로동)"
197,LG이노텍 서울어린이집,02-2135-1236,"서울특별시 강서구 마곡중앙10로 30 ,E3 (가양제1동)"
198,아이뜰어린이집,02-427-0511,"서울특별시 강동구 고덕로80길 99 ,517동 103호(상일동, 고덕센트럴아이파크아파트) (상일제1동)"
199,키즈일레븐어린이집,02-6456-8560,"서울특별시 중구 한강대로 416 ,2층 (회현동)"
200,KB구의 어린이집,02-6235-7977,"서울특별시 광진구 광나루로 525 ,3층 (구의제2동)"
201,구립 엠밸리큰나무어린이집,02-3663-9599,서울특별시 강서구 마곡중앙8로1길 10 (가양제1동)
202,구립아르테온보나어린이집,02-442-2022,"서울특별시 강동구 고덕로 360 ,고덕아르테온 339동 인근 관리동 (상일제1동)"
203,구립아르테온보예어린이집,02-6925-5642,"서울특별시 강동구 고덕로 360 ,고덕아르테온아파트 319동 1층(상일동) (상일제1동)"
204,유한버들새싹어린이집,02-828-2506,"서울특별시 동작구 노량진로 74 ,유한양행 (대방동)"
205,구립가온어린이집,02-3280-0217,서울특별시 동작구 성대로16길 21 (상도제4동)
206,늘봄보라매SK뷰어린이집,02-2135-7941,서울특별시 영등포구 여의대방로35가길 19 (신길제7동)
207,동고어린이집,02-6241-1852,"서울특별시 서초구 바우뫼로7길 29 ,105동 102호 (양재1동)"
208,용산캐슬어린이집,02-712-7942,"서울특별시 용산구 백범로 313 ,키즈클럽(효창동,롯데캐슬센터포레) (효창동)"
209,가락아이들어린이집,02-400-3188,"서울특별시 송파구 중대로12길 34 ,(가락동) (가락본동)"
210,구립꿈담어린이집,02-813-4246,"서울특별시 동작구 상도로47아길 44-1 ,2층 (상도제1동)"
211,구립독산e편한어린이집,02-892-0700,서울특별시 금천구 범안로 1212 (독산제1동)
212,구립 행당한신어린이집,02-2291-0079,"서울특별시 성동구 고산자로 164 ,관리동 2층(행당동, 행당한신) (행당제1동)"
213,새빛어린이집,02-2688-3688,서울특별시 구로구 연동로 233 (항동)
214,항동하랑어린이집,02-2612-0081,서울특별시 구로구 항동로 42 (항동)
215,삼성아트어린이집,02-401-7245,서울특별시 송파구 문정로 83 (문정1동)
216,파인13어린이집,02-400-0609,"서울특별시 송파구 송파대로8길 10 ,(장지동, 송파파인타운13단지) (장지동)"
217,아이다움어린이집,02-2233-7942,"서울특별시 중구 난계로 130 ,102동 102호 (신당제5동)"
218,잠실올림픽아이파크어린이집,02-473-8613,"서울특별시 송파구 올림픽로43길 34 ,관리동 1층(풍납동, 잠실올림픽공원아이파크) (풍납2동)"
219,구립 아이나무어린이집,02-6949-1305,서울특별시 강서구 화곡로13가길 5 (화곡제3동)
220,구립 하늘마음어린이집,02-6959-7736,서울특별시 강서구 초록마을로 106 (화곡본동)
221,구립 가람슬기어린이집,02-353-2235,서울특별시 은평구 연서로19길 28-1 (갈현제2동)
222,구립도레미어린이집,02-813-2031,서울특별시 동작구 흑석로13길 25 (흑석동)
223,바람아래발도르프어린이집,02-942-5090,"서울특별시 성북구 길음로9길 40 ,108동 101호 (길음제1동)"
224,키움누리어린이집,02-943-1525,"서울특별시 성북구 서경로 60 ,길음뉴타운 11단지 롯데캐슬골든힐스 단지 내 (정릉제1동)"
225,구립롯데캐슬베네루체어린이집,02-442-7675,"서울특별시 강동구 구천면로 630 ,고덕롯데캐슬베네루체 관리동(구립롯데캐슬베네루체어린이집) (상일제1동)"
226,구립센트럴아이파크어린이집,02-6013-0320,"서울특별시 강동구 고덕로80길 99 ,관리동(구립센트럴아이파크어린이집) (상일제1동)"
227,구립힐스아이어린이집,02-429-6351,"서울특별시 강동구 올림픽로91길 30 ,관리동(구립힐스아이어린이집) (암사제2동)"
228,구립소나무어린이집,02-802-7902,서울특별시 금천구 독산로58나길 81 (독산제2동)
229,데시앙어린이집,02-6053-6601,"서울특별시 동대문구 장한로27길 37 ,관리동(장안동, 더퍼스트데시앙아파트) (장안제2동)"
230,우리들어린이집,02-973-0577,서울특별시 중랑구 공릉로4길 18-13 (묵제1동)
231,구립꿈의숲해링턴어린이집,02-989-1467,"서울특별시 강북구 오현로 45 ,꿈의숲해링턴플레이스아파트 114동 (지하1층) (송중동)"
232,구립 숲속향기어린이집,02-384-4466,"서울특별시 은평구 연서로48길 12 ,510동 1층 (진관동)"
233,자람어린이집,02-6954-1909,"서울특별시 서대문구 가재울미래로 2 ,DMC파크뷰자이 4단지 내 402동 1층 (남가좌제1동)"
234,베베키즈어린이집,02-428-1566,"서울특별시 강동구 고덕로 333 ,112동 105호(고덕동, 고덕그라시움아파트) (고덕제2동)"
235,두산로다어린이집,02-6408-0705,"서울특별시 양천구 신월로20길 7 ,신정뉴타운 두산위브 관리동 (신월2동)"
236,구립 가온누리어린이집,02-356-7713,서울특별시 은평구 갈현로31길 14-9 (갈현제2동)
237,초롱어린이집,02-942-0130,"서울특별시 성북구 한천로90길 49 ,1층 (장위제3동)"
238,하이키즈어린이집,02-942-1101,"서울특별시 성북구 한천로 713 ,513동 102호 (래미안장위퍼스트하이) (장위제3동)"
239,구립 움찬어린이집,02-6959-9950,"서울특별시 은평구 불광로 64 ,불광 롯데캐슬 (불광제1동)"
240,구립 한빛어린이집,02-2135-4662,"서울특별시 은평구 백련산로 67 ,(백련산파크자이) (응암제2동)"
241,어울림어린이집,02-481-0045,"서울특별시 강동구 고덕로 333 ,127동 104호(고덕그라시움) (고덕제2동)"
242,더나은어린이집,02-3012-2334,"서울특별시 송파구 충민로 152 ,306동 104호(송파파인타운3단지) (장지동)"
243,LG전자 서초어린이집,02-503-4013,"서울특별시 서초구 양재대로11길 19 ,고객센터3층 (양재2동)"
244,구립초록빛어린이집,02-891-1381,서울특별시 금천구 시흥대로68길 89 (시흥제1동)
