,filename,width,height,fps,frame count
43,/content/drive/Shareddrives/2021청년인재_고려대과정_10조/Raw Data/Crawling Data/fight/CA-V-YT-148-3.mp4,1032,432,30.0,104
44,/content/drive/Shareddrives/2021청년인재_고려대과정_10조/Raw Data/Crawling Data/fight/CA-V-YT-148-4.mp4,1032,432,30.0,68
45,/content/drive/Shareddrives/2021청년인재_고려대과정_10조/Raw Data/Crawling Data/fight/CA-V-YT-149-1.mp4,1104,416,30.0,45
46,/content/drive/Shareddrives/2021청년인재_고려대과정_10조/Raw Data/Crawling Data/fight/CA-V-YT-149-2.mp4,1104,416,30.0,58
47,/content/drive/Shareddrives/2021청년인재_고려대과정_10조/Raw Data/Crawling Data/fight/CA-V-YT-149-3.mp4,1104,416,30.0,44
48,/content/drive/Shareddrives/2021청년인재_고려대과정_10조/Raw Data/Crawling Data/fight/CA-V-YT-150-2.mp4,1104,416,30.0,82
49,/content/drive/Shareddrives/2021청년인재_고려대과정_10조/Raw Data/Crawling Data/fight/CA-V-YT-150-4.mp4,1104,416,30.0,78
50,/content/drive/Shareddrives/2021청년인재_고려대과정_10조/Raw Data/Crawling Data/fight/CA-V-YT-151-2.mp4,992,460,30.0,164
51,/content/drive/Shareddrives/2021청년인재_고려대과정_10조/Raw Data/Crawling Data/fight/CA-V-YT-104-1.mp4,1056,580,30.0,75
52,/content/drive/Shareddrives/2021청년인재_고려대과정_10조/Raw Data/Crawling Data/fight/CA-V-YT-104-2.mp4,616,580,30.0,58
53,/content/drive/Shareddrives/2021청년인재_고려대과정_10조/Raw Data/Crawling Data/fight/CA-V-YT-152-1.mp4,968,452,29.779411764705884,135
54,/content/drive/Shareddrives/2021청년인재_고려대과정_10조/Raw Data/Crawling Data/fight/CA-V-YT-105-1.mp4,928,492,30.0,174
55,/content/drive/Shareddrives/2021청년인재_고려대과정_10조/Raw Data/Crawling Data/fight/CA-V-YT-105-2.mp4,1112,428,30.0,39
56,/content/drive/Shareddrives/2021청년인재_고려대과정_10조/Raw Data/Crawling Data/fight/CA-V-YT-105-3.mp4,1112,428,30.0,67
57,/content/drive/Shareddrives/2021청년인재_고려대과정_10조/Raw Data/Crawling Data/fight/CA-V-YT-105-4.mp4,1112,428,30.0,42
58,/content/drive/Shareddrives/2021청년인재_고려대과정_10조/Raw Data/Crawling Data/fight/CA-V-YT-105-5.mp4,1112,428,30.0,59
59,/content/drive/Shareddrives/2021청년인재_고려대과정_10조/Raw Data/Crawling Data/fight/CA-V-YT-152-2.mp4,968,452,30.0,39
60,/content/drive/Shareddrives/2021청년인재_고려대과정_10조/Raw Data/Crawling Data/fight/CA-V-YT-152-3.mp4,968,452,30.0,66
61,/content/drive/Shareddrives/2021청년인재_고려대과정_10조/Raw Data/Crawling Data/fight/CA-V-YT-106-1.mp4,712,408,30.0,65
62,/content/drive/Shareddrives/2021청년인재_고려대과정_10조/Raw Data/Crawling Data/fight/CA-V-YT-152-4.mp4,968,452,30.0,127
63,/content/drive/Shareddrives/2021청년인재_고려대과정_10조/Raw Data/Crawling Data/fight/CA-V-YT-152-5.mp4,968,452,30.0,97
64,/content/drive/Shareddrives/2021청년인재_고려대과정_10조/Raw Data/Crawling Data/fight/CA-V-YT-152-5(2).mp4,968,452,30.0,151
65,/content/drive/Shareddrives/2021청년인재_고려대과정_10조/Raw Data/Crawling Data/fight/CA-V-YT-108-1.mp4,1104,488,30.0,54
66,/content/drive/Shareddrives/2021청년인재_고려대과정_10조/Raw Data/Crawling Data/fight/CA-V-YT-107-1.mp4,1104,500,30.0,138
67,/content/drive/Shareddrives/2021청년인재_고려대과정_10조/Raw Data/Crawling Data/fight/CA-V-YT-108-2.mp4,1104,512,30.0,75
68,/content/drive/Shareddrives/2021청년인재_고려대과정_10조/Raw Data/Crawling Data/fight/CA-V-YT-108-3.mp4,424,512,30.0,37
69,/content/drive/Shareddrives/2021청년인재_고려대과정_10조/Raw Data/Crawling Data/fight/CA-V-YT-153-2.mp4,1096,316,30.0,39
70,/content/drive/Shareddrives/2021청년인재_고려대과정_10조/Raw Data/Crawling Data/fight/CA-V-YT-153-3.mp4,1096,316,30.0,46
71,/content/drive/Shareddrives/2021청년인재_고려대과정_10조/Raw Data/Crawling Data/fight/CA-V-YT-108-4.mp4,1104,428,30.0,51
72,/content/drive/Shareddrives/2021청년인재_고려대과정_10조/Raw Data/Crawling Data/fight/CA-V-YT-109-1(화질나쁨).mp4,1104,464,30.0,39
73,/content/drive/Shareddrives/2021청년인재_고려대과정_10조/Raw Data/Crawling Data/fight/CA-V-YT-110-1.mp4,1088,380,30.0,131
74,/content/drive/Shareddrives/2021청년인재_고려대과정_10조/Raw Data/Crawling Data/fight/CA-V-YT-111-1.mp4,1104,492,30.0,61
75,/content/drive/Shareddrives/2021청년인재_고려대과정_10조/Raw Data/Crawling Data/fight/CA-V-YT-111-2 .mp4,1104,416,30.0,42
76,/content/drive/Shareddrives/2021청년인재_고려대과정_10조/Raw Data/Crawling Data/fight/CA-V-YT-112-1.mp4,944,580,30.0,76
77,/content/drive/Shareddrives/2021청년인재_고려대과정_10조/Raw Data/Crawling Data/fight/CA-V-YT-112-2.mp4,944,576,30.0,186
78,/content/drive/Shareddrives/2021청년인재_고려대과정_10조/Raw Data/Crawling Data/fight/CA-V-YT-113-1.mp4,976,416,30.0,110
79,/content/drive/Shareddrives/2021청년인재_고려대과정_10조/Raw Data/Crawling Data/fight/CA-V-YT-114-1.mp4,816,416,30.0,71
80,/content/drive/Shareddrives/2021청년인재_고려대과정_10조/Raw Data/Crawling Data/fight/CA-V-YT-114-2.mp4,816,452,30.0,118
81,/content/drive/Shareddrives/2021청년인재_고려대과정_10조/Raw Data/Crawling Data/fight/CA-V-YT-154-1.mp4,936,412,30.0,74
82,/content/drive/Shareddrives/2021청년인재_고려대과정_10조/Raw Data/Crawling Data/fight/CA-V-YT-115-1.mp4,840,476,30.0,113
83,/content/drive/Shareddrives/2021청년인재_고려대과정_10조/Raw Data/Crawling Data/fight/CA-V-YT-116-1.mp4,840,472,30.0,64
84,/content/drive/Shareddrives/2021청년인재_고려대과정_10조/Raw Data/Crawling Data/fight/CA-V-YT-154-2.mp4,936,412,30.0,59
85,/content/drive/Shareddrives/2021청년인재_고려대과정_10조/Raw Data/Crawling Data/fight/CA-V-YT-117-1.mp4,648,556,30.0,50
86,/content/drive/Shareddrives/2021청년인재_고려대과정_10조/Raw Data/Crawling Data/fight/CA-V-YT-117-2.mp4,648,492,30.0,95
87,/content/drive/Shareddrives/2021청년인재_고려대과정_10조/Raw Data/Crawling Data/fight/CA-V-YT-117-3.mp4,648,492,30.0,48
88,/content/drive/Shareddrives/2021청년인재_고려대과정_10조/Raw Data/Crawling Data/fight/CA-V-YT-118-1.mp4,648,412,30.0,54
89,/content/drive/Shareddrives/2021청년인재_고려대과정_10조/Raw Data/Crawling Data/fight/CA-V-YT-118-2.mp4,808,412,30.0,30
90,/content/drive/Shareddrives/2021청년인재_고려대과정_10조/Raw Data/Crawling Data/fight/CA-V-YT-154-4.mp4,936,412,30.0,203
91,/content/drive/Shareddrives/2021청년인재_고려대과정_10조/Raw Data/Crawling Data/fight/CA-V-YT-154-5.mp4,936,412,30.0,119
92,/content/drive/Shareddrives/2021청년인재_고려대과정_10조/Raw Data/Crawling Data/fight/CA-V-YT-154-6.mp4,936,412,30.0,91
93,/content/drive/Shareddrives/2021청년인재_고려대과정_10조/Raw Data/Crawling Data/fight/CA-V-YT-154-7.mp4,936,412,30.0,64
94,/content/drive/Shareddrives/2021청년인재_고려대과정_10조/Raw Data/Crawling Data/fight/CA-V-YT-154-8.mp4,936,412,30.0,87
95,/content/drive/Shareddrives/2021청년인재_고려대과정_10조/Raw Data/Crawling Data/fight/CA-V-YT-155-1.mp4,1064,424,30.0,109
96,/content/drive/Shareddrives/2021청년인재_고려대과정_10조/Raw Data/Crawling Data/fight/CA-V-YT-156-1.mp4,960,416,30.0,68
97,/content/drive/Shareddrives/2021청년인재_고려대과정_10조/Raw Data/Crawling Data/fight/CA-V-YT-156-2.mp4,960,416,30.0,44
98,/content/drive/Shareddrives/2021청년인재_고려대과정_10조/Raw Data/Crawling Data/fight/CA-V-YT-158-1.mp4,1064,464,30.0,63
99,/content/drive/Shareddrives/2021청년인재_고려대과정_10조/Raw Data/Crawling Data/fight/CA-V-YT-158-2.mp4,1064,464,30.0,44
100,/content/drive/Shareddrives/2021청년인재_고려대과정_10조/Raw Data/Crawling Data/fight/CA-V-YT-158-3.mp4,1064,464,30.0,54
101,/content/drive/Shareddrives/2021청년인재_고려대과정_10조/Raw Data/Crawling Data/fight/CA-V-YT-159-1.mp4,1064,464,30.0,77
102,/content/drive/Shareddrives/2021청년인재_고려대과정_10조/Raw Data/Crawling Data/fight/CA-V-YT-159-2.mp4,1064,464,30.0,30
103,/content/drive/Shareddrives/2021청년인재_고려대과정_10조/Raw Data/Crawling Data/fight/CA-V-YT-159-3.mp4,1064,340,30.0,43
104,/content/drive/Shareddrives/2021청년인재_고려대과정_10조/Raw Data/Crawling Data/fight/CA-V-YT-161-1.mp4,1064,400,30.0,67
105,/content/drive/Shareddrives/2021청년인재_고려대과정_10조/Raw Data/Crawling Data/fight/CA-V-YT-162-1.mp4,1064,400,30.0,47
106,/content/drive/Shareddrives/2021청년인재_고려대과정_10조/Raw Data/Crawling Data/fight/CA-V-YT-163-2.mp4,1096,548,30.0,83
107,/content/drive/Shareddrives/2021청년인재_고려대과정_10조/Raw Data/Crawling Data/fight/CA-V-YT-163-3.mp4,1096,548,30.0,104
108,/content/drive/Shareddrives/2021청년인재_고려대과정_10조/Raw Data/Crawling Data/fight/CA-V-YT-163-4.mp4,1096,548,30.0,93
109,/content/drive/Shareddrives/2021청년인재_고려대과정_10조/Raw Data/Crawling Data/fight/CA-V-YT-163-5.mp4,1096,548,30.0,88
110,/content/drive/Shareddrives/2021청년인재_고려대과정_10조/Raw Data/Crawling Data/fight/CA-V-YT-163-6.mp4,1096,548,30.0,63
111,/content/drive/Shareddrives/2021청년인재_고려대과정_10조/Raw Data/Crawling Data/fight/CA-V-YT-163-7.mp4,1096,548,30.0,124
112,/content/drive/Shareddrives/2021청년인재_고려대과정_10조/Raw Data/Crawling Data/fight/CA-V-YT-164-1.mp4,352,548,30.0,177
113,/content/drive/Shareddrives/2021청년인재_고려대과정_10조/Raw Data/Crawling Data/fight/CA-V-YT-164-2.mp4,352,548,30.0,200
114,/content/drive/Shareddrives/2021청년인재_고려대과정_10조/Raw Data/Crawling Data/fight/CA-V-YT-166-1.mp4,1024,440,30.0,93
115,/content/drive/Shareddrives/2021청년인재_고려대과정_10조/Raw Data/Crawling Data/fight/CA-V-YT-166-2.mp4,1024,440,30.0,37
116,/content/drive/Shareddrives/2021청년인재_고려대과정_10조/Raw Data/Crawling Data/fight/CA-V-YT-166-3.mp4,1024,440,30.0,63
117,/content/drive/Shareddrives/2021청년인재_고려대과정_10조/Raw Data/Crawling Data/fight/CA-V-YT-166-4.mp4,1024,440,30.0,67
118,/content/drive/Shareddrives/2021청년인재_고려대과정_10조/Raw Data/Crawling Data/fight/CA-V-YT-166-5.mp4,1024,440,30.0,31
119,/content/drive/Shareddrives/2021청년인재_고려대과정_10조/Raw Data/Crawling Data/fight/CA-V-YT-166-6.mp4,880,268,30.0,76
120,/content/drive/Shareddrives/2021청년인재_고려대과정_10조/Raw Data/Crawling Data/fight/CA-V-YT-168-1.mp4,352,520,30.0,130
121,/content/drive/Shareddrives/2021청년인재_고려대과정_10조/Raw Data/Crawling Data/fight/CA-V-YT-2-1.mp4,824,312,30.0,184
122,/content/drive/Shareddrives/2021청년인재_고려대과정_10조/Raw Data/Crawling Data/fight/CA-V-YT-2-2.mp4,824,312,30.0,55
123,/content/drive/Shareddrives/2021청년인재_고려대과정_10조/Raw Data/Crawling Data/fight/CA-V-YT-3-1.mp4,504,312,30.0,36
124,/content/drive/Shareddrives/2021청년인재_고려대과정_10조/Raw Data/Crawling Data/fight/CA-V-YT-3-2.mp4,504,296,30.0,66
125,/content/drive/Shareddrives/2021청년인재_고려대과정_10조/Raw Data/Crawling Data/fight/CA-V-YT-6-1.mp4,456,348,30.0,214
126,/content/drive/Shareddrives/2021청년인재_고려대과정_10조/Raw Data/Crawling Data/fight/CA-V-YT-6-2.mp4,456,348,30.0,108
127,/content/drive/Shareddrives/2021청년인재_고려대과정_10조/Raw Data/Crawling Data/fight/CA-V-YT-6-3.mp4,536,372,29.62962962962963,80
128,/content/drive/Shareddrives/2021청년인재_고려대과정_10조/Raw Data/Crawling Data/fight/CA-V-YT-6-4.mp4,448,344,30.0,66
129,/content/drive/Shareddrives/2021청년인재_고려대과정_10조/Raw Data/Crawling Data/fight/CA-V-YT-7-1.mp4,496,416,30.0,51
130,/content/drive/Shareddrives/2021청년인재_고려대과정_10조/Raw Data/Crawling Data/fight/CA-V-YT-7-2.mp4,608,460,30.0,82
131,/content/drive/Shareddrives/2021청년인재_고려대과정_10조/Raw Data/Crawling Data/fight/CA-V-YT-7-3.mp4,416,460,30.0,98
132,/content/drive/Shareddrives/2021청년인재_고려대과정_10조/Raw Data/Crawling Data/fight/CA-V-YT-11.mp4,632,328,30.0,73
133,/content/drive/Shareddrives/2021청년인재_고려대과정_10조/Raw Data/Crawling Data/fight/CA-V-YT-12.mp4,712,348,30.0,52
134,/content/drive/Shareddrives/2021청년인재_고려대과정_10조/Raw Data/Crawling Data/fight/CA-V-YT-13.mp4,760,412,30.0,114
135,/content/drive/Shareddrives/2021청년인재_고려대과정_10조/Raw Data/Crawling Data/fight/CA-V-YT-14.mp4,760,356,30.0,122
136,/content/drive/Shareddrives/2021청년인재_고려대과정_10조/Raw Data/Crawling Data/fight/CA-V-YT-17-1.mp4,520,356,30.0,247
137,/content/drive/Shareddrives/2021청년인재_고려대과정_10조/Raw Data/Crawling Data/fight/CA-V-YT-17-2.mp4,520,356,30.0,59
138,/content/drive/Shareddrives/2021청년인재_고려대과정_10조/Raw Data/Crawling Data/fight/CA-V-YT-18-1.mp4,824,368,30.0,72
139,/content/drive/Shareddrives/2021청년인재_고려대과정_10조/Raw Data/Crawling Data/fight/CA-V-YT-18-2.mp4,824,380,30.0,186
140,/content/drive/Shareddrives/2021청년인재_고려대과정_10조/Raw Data/Crawling Data/fight/CA-V-YT-19-1.mp4,488,380,30.0,76
141,/content/drive/Shareddrives/2021청년인재_고려대과정_10조/Raw Data/Crawling Data/fight/CA-V-YT-19-2.mp4,520,416,30.0,149
142,/content/drive/Shareddrives/2021청년인재_고려대과정_10조/Raw Data/Crawling Data/fight/CA-V-YT-19-3.mp4,576,416,30.0,157
143,/content/drive/Shareddrives/2021청년인재_고려대과정_10조/Raw Data/Crawling Data/fight/CA-V-YT-19-4.mp4,560,356,30.0,37
144,/content/drive/Shareddrives/2021청년인재_고려대과정_10조/Raw Data/Crawling Data/fight/CA-V-YT-19-5.mp4,560,356,30.0,89
145,/content/drive/Shareddrives/2021청년인재_고려대과정_10조/Raw Data/Crawling Data/fight/CA-V-YT-20-1.mp4,632,360,29.929906542056074,427
146,/content/drive/Shareddrives/2021청년인재_고려대과정_10조/Raw Data/Crawling Data/fight/CA-V-YT-20-2.mp4,632,456,30.0,275
147,/content/drive/Shareddrives/2021청년인재_고려대과정_10조/Raw Data/Crawling Data/fight/CA-V-YT-119-1.mp4,632,560,30.0,65
148,/content/drive/Shareddrives/2021청년인재_고려대과정_10조/Raw Data/Crawling Data/fight/CA-V-YT-119-2 .mp4,632,496,30.0,48
149,/content/drive/Shareddrives/2021청년인재_고려대과정_10조/Raw Data/Crawling Data/fight/CA-V-YT-120-1.mp4,1024,400,30.0,82
150,/content/drive/Shareddrives/2021청년인재_고려대과정_10조/Raw Data/Crawling Data/fight/CA-V-YT-120-2.mp4,720,364,30.0,89
151,/content/drive/Shareddrives/2021청년인재_고려대과정_10조/Raw Data/Crawling Data/fight/CA-V-YT-121-1.mp4,632,408,30.0,62
152,/content/drive/Shareddrives/2021청년인재_고려대과정_10조/Raw Data/Crawling Data/fight/CA-V-YT-122-1.mp4,784,336,30.0,121
153,/content/drive/Shareddrives/2021청년인재_고려대과정_10조/Raw Data/Crawling Data/fight/CA-V-YT-123-1.mp4,904,404,30.0,108
154,/content/drive/Shareddrives/2021청년인재_고려대과정_10조/Raw Data/Crawling Data/fight/CA-V-YT-123-2.mp4,904,404,30.0,133
155,/content/drive/Shareddrives/2021청년인재_고려대과정_10조/Raw Data/Crawling Data/fight/CA-V-YT-124-1.mp4,960,412,30.0,97
156,/content/drive/Shareddrives/2021청년인재_고려대과정_10조/Raw Data/Crawling Data/fight/CA-V-YT-124-2(애매).mp4,1048,508,30.0,137
157,/content/drive/Shareddrives/2021청년인재_고려대과정_10조/Raw Data/Crawling Data/fight/CA-V-YT-125-1.mp4,592,560,30.0,99
158,/content/drive/Shareddrives/2021청년인재_고려대과정_10조/Raw Data/Crawling Data/fight/CA-V-YT-126-2.mp4,584,496,30.0,114
159,/content/drive/Shareddrives/2021청년인재_고려대과정_10조/Raw Data/Crawling Data/fight/CA-V-YT-127-1.mp4,824,452,30.0,85
160,/content/drive/Shareddrives/2021청년인재_고려대과정_10조/Raw Data/Crawling Data/fight/CA-V-YT-127-2.mp4,824,452,30.0,117
161,/content/drive/Shareddrives/2021청년인재_고려대과정_10조/Raw Data/Crawling Data/fight/CA-V-YT-129-1.mp4,808,412,30.0,81
162,/content/drive/Shareddrives/2021청년인재_고려대과정_10조/Raw Data/Crawling Data/fight/CA-V-YT-131-1.mp4,808,380,30.0,74
163,/content/drive/Shareddrives/2021청년인재_고려대과정_10조/Raw Data/Crawling Data/fight/CA-V-YT-131-2.mp4,880,380,30.0,56
164,/content/drive/Shareddrives/2021청년인재_고려대과정_10조/Raw Data/Crawling Data/fight/CA-V-YT-133-1.mp4,864,492,30.0,261
165,/content/drive/Shareddrives/2021청년인재_고려대과정_10조/Raw Data/Crawling Data/fight/CA-V-YT-133-2.mp4,848,480,30.0,56
166,/content/drive/Shareddrives/2021청년인재_고려대과정_10조/Raw Data/Crawling Data/fight/CA-V-YT-134-1.mp4,784,412,30.0,66
167,/content/drive/Shareddrives/2021청년인재_고려대과정_10조/Raw Data/Crawling Data/fight/CA-V-YT-135-1.mp4,784,572,30.0,32
168,/content/drive/Shareddrives/2021청년인재_고려대과정_10조/Raw Data/Crawling Data/fight/CA-V-YT-136-1.mp4,784,564,30.0,63
169,/content/drive/Shareddrives/2021청년인재_고려대과정_10조/Raw Data/Crawling Data/fight/CA-V-YT-136-2.mp4,784,536,30.0,63
170,/content/drive/Shareddrives/2021청년인재_고려대과정_10조/Raw Data/Crawling Data/fight/CA-V-YT-22-1.mp4,816,312,30.0,55
171,/content/drive/Shareddrives/2021청년인재_고려대과정_10조/Raw Data/Crawling Data/fight/CA-V-YT-22-2.mp4,816,312,30.0,68
172,/content/drive/Shareddrives/2021청년인재_고려대과정_10조/Raw Data/Crawling Data/fight/CA-V-YT-23-1.mp4,696,372,30.0,75
173,/content/drive/Shareddrives/2021청년인재_고려대과정_10조/Raw Data/Crawling Data/fight/CA-V-YT-23-2.mp4,696,356,30.0,77
174,/content/drive/Shareddrives/2021청년인재_고려대과정_10조/Raw Data/Crawling Data/fight/CA-V-YT-23-3.mp4,696,432,30.0,50
175,/content/drive/Shareddrives/2021청년인재_고려대과정_10조/Raw Data/Crawling Data/fight/CA-V-YT-25.mp4,568,264,30.0,101
176,/content/drive/Shareddrives/2021청년인재_고려대과정_10조/Raw Data/Crawling Data/fight/CA-V-YT-27.mp4,568,312,30.0,56
177,/content/drive/Shareddrives/2021청년인재_고려대과정_10조/Raw Data/Crawling Data/fight/CA-V-YT-28.mp4,568,440,30.0,80
178,/content/drive/Shareddrives/2021청년인재_고려대과정_10조/Raw Data/Crawling Data/fight/CA-V-YT-32-1.mp4,672,344,30.0,126
179,/content/drive/Shareddrives/2021청년인재_고려대과정_10조/Raw Data/Crawling Data/fight/CA-V-YT-32-2.mp4,496,408,30.0,103
180,/content/drive/Shareddrives/2021청년인재_고려대과정_10조/Raw Data/Crawling Data/fight/CA-V-YT-249-1.mp4,832,564,30.0,103
181,/content/drive/Shareddrives/2021청년인재_고려대과정_10조/Raw Data/Crawling Data/fight/CA-V-YT-170.mp4,672,348,30.0,43
182,/content/drive/Shareddrives/2021청년인재_고려대과정_10조/Raw Data/Crawling Data/fight/CA-V-YT-219-1.mp4,632,244,30.0,148
183,/content/drive/Shareddrives/2021청년인재_고려대과정_10조/Raw Data/Crawling Data/fight/CA-V-YT-249-3.mp4,832,564,30.0,131
184,/content/drive/Shareddrives/2021청년인재_고려대과정_10조/Raw Data/Crawling Data/fight/CA-V-YT-194-1.mp4,1088,456,29.307692307692307,127
185,/content/drive/Shareddrives/2021청년인재_고려대과정_10조/Raw Data/Crawling Data/fight/CA-V-YT-220-1.mp4,576,144,30.0,150
186,/content/drive/Shareddrives/2021청년인재_고려대과정_10조/Raw Data/Crawling Data/fight/CA-V-YT-220-2.mp4,472,192,30.0,103
187,/content/drive/Shareddrives/2021청년인재_고려대과정_10조/Raw Data/Crawling Data/fight/CA-V-YT-195-1.mp4,1088,484,25.714285714285715,36
188,/content/drive/Shareddrives/2021청년인재_고려대과정_10조/Raw Data/Crawling Data/fight/CA-V-YT-195-2.mp4,1088,612,27.333333333333332,41
189,/content/drive/Shareddrives/2021청년인재_고려대과정_10조/Raw Data/Crawling Data/fight/CA-V-YT-221-1.mp4,472,368,30.0,212
